===== DPI LOG STARTED =====
Started: 2026-06-23 08:37:31

08:37:51 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:51 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | LOW
08:37:51 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | LOW
08:37:51 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:51 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:51 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:51 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:51 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 101 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | LOW
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:53 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:54 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | MEDIUM
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:55 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
08:37:55 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:56 | 108.159.91.34 -> 192.168.43.227 | HTTPS Secure Traffic | TCP | 1404 bytes | HIGH
08:37:56 | 192.168.43.227 -> 108.159.91.34 | HTTPS Secure Traffic | TCP | 54 bytes | MEDIUM
